Customer_id,recency,history_segment,history,mens,womens,zip_code,newbie,channel,type,conversion,spend
1,1,2) $100 - $200,115.27,0,1,Suburban,1,Phone,No merchandise,0,0
2,4,1) $0 - $100,29.99,0,1,Urban,1,Web,No merchandise,0,0
3,6,1) $0 - $100,29.99,0,1,Suburban,0,Phone,No merchandise,0,0
4,8,1) $0 - $100,95.96,1,0,Suburban,0,Web,Mens and Womens merchandise,0,0
5,9,1) $0 - $100,67.81,1,0,Suburban,1,Web,No merchandise,0,0
6,7,3) $200 - $350,204.17,1,1,Suburban,0,Web,Mens and Womens merchandise,0,0
7,7,3) $200 - $350,262.26,1,0,Urban,0,Web,Mens and Womens merchandise,1,0
8,1,1) $0 - $100,72.98,0,1,Urban,0,Web,No merchandise,0,0
9,3,3) $200 - $350,210.58,1,0,Suburban,1,Phone,Mens and Womens merchandise,0,0
10,12,2) $100 - $200,112.67,1,0,Rural,0,Phone,Mens and Womens merchandise,1,0
11,2,2) $100 - $200,160.72,0,1,Suburban,1,Web,No merchandise,0,0
12,3,5) $500 - $750,666.15,1,0,Urban,1,Multichannel,No merchandise,0,0
13,2,3) $200 - $350,251.85,1,0,Rural,1,Web,Mens and Womens merchandise,1,0
14,12,4) $350 - $500,378.74,0,1,Urban,1,Phone,Mens and Womens merchandise,0,0
15,1,2) $100 - $200,167.33,0,1,Suburban,0,Web,No merchandise,0,0
16,5,3) $200 - $350,321.13,1,0,Suburban,1,Multichannel,Mens and Womens merchandise,0,0
17,11,2) $100 - $200,184.85,0,1,Suburban,1,Phone,No merchandise,0,0
18,9,1) $0 - $100,53.76,1,0,Urban,1,Phone,No merchandise,0,0
19,1,2) $100 - $200,148.9,0,1,Suburban,0,Web,Mens and Womens merchandise,0,0
20,4,1) $0 - $100,29.99,1,0,Suburban,0,Phone,Mens and Womens merchandise,0,0
21,6,4) $350 - $500,445.16,0,1,Suburban,0,Multichannel,Mens and Womens merchandise,0,0
22,2,"6) $750 - $1,000",871.53,0,1,Rural,1,Multichannel,Mens and Womens merchandise,1,0
23,8,"7) $1,000 +",1332.97,1,1,Rural,1,Multichannel,No merchandise,0,0
24,7,3) $200 - $350,311.57,1,0,Rural,0,Web,No merchandise,0,0
25,7,2) $100 - $200,176.63,0,1,Suburban,0,Web,Mens and Womens merchandise,0,0
26,10,1) $0 - $100,29.99,1,0,Suburban,1,Phone,Mens and Womens merchandise,0,0
27,6,1) $0 - $100,49.19,1,0,Urban,0,Phone,No merchandise,0,0
28,11,5) $500 - $750,748.25,1,1,Suburban,1,Web,Mens and Womens merchandise,0,0
29,10,1) $0 - $100,47.32,1,0,Rural,1,Web,Mens and Womens merchandise,0,0
30,4,1) $0 - $100,29.99,0,1,Suburban,0,Web,Mens and Womens merchandise,0,0
31,3,3) $200 - $350,222.13,1,0,Suburban,1,Web,Mens and Womens merchandise,0,0
32,4,1) $0 - $100,29.99,0,1,Suburban,0,Web,Mens and Womens merchandise,1,0
33,4,3) $200 - $350,224.35,0,1,Suburban,0,Multichannel,Mens and Womens merchandise,1,0
34,1,"6) $750 - $1,000",966.24,1,0,Suburban,1,Multichannel,Mens and Womens merchandise,0,0
35,7,3) $200 - $350,341.26,0,1,Urban,0,Phone,Mens and Womens merchandise,1,0
36,2,3) $200 - $350,305.15,1,1,Suburban,0,Multichannel,Mens and Womens merchandise,1,0
37,6,2) $100 - $200,165.05,0,1,Suburban,1,Phone,Mens and Womens merchandise,0,0
38,3,1) $0 - $100,29.99,0,1,Urban,1,Web,No merchandise,0,0
39,11,2) $100 - $200,113.97,1,0,Suburban,1,Phone,Mens and Womens merchandise,1,0
40,12,1) $0 - $100,52.21,1,0,Suburban,1,Phone,No merchandise,0,0
41,2,5) $500 - $750,626.98,1,0,Urban,1,Web,Mens and Womens merchandise,0,0
42,2,"6) $750 - $1,000",922.46,1,0,Urban,1,Phone,No merchandise,0,0
43,10,5) $500 - $750,667.06,0,1,Suburban,1,Multichannel,No merchandise,0,0
44,3,1) $0 - $100,92.02,0,1,Suburban,1,Web,No merchandise,0,0
45,6,1) $0 - $100,29.99,1,0,Urban,1,Web,Mens and Womens merchandise,0,0
46,11,3) $200 - $350,213.08,0,1,Suburban,1,Web,No merchandise,1,0
47,6,3) $200 - $350,264.04,1,0,Urban,0,Phone,Mens and Womens merchandise,1,0
48,10,1) $0 - $100,98.51,0,1,Suburban,0,Web,No merchandise,0,0
49,2,1) $0 - $100,39.31,0,1,Suburban,1,Web,Mens and Womens merchandise,1,499
50,2,2) $100 - $200,141.6,0,1,Suburban,1,Web,No merchandise,0,0
51,11,3) $200 - $350,331.8,0,1,Suburban,0,Phone,No merchandise,0,0
52,6,3) $200 - $350,245.46,1,0,Rural,0,Web,Mens and Womens merchandise,0,0
53,12,3) $200 - $350,253,0,1,Suburban,1,Phone,No merchandise,0,0
54,12,4) $350 - $500,482.86,1,1,Suburban,0,Multichannel,Mens and Womens merchandise,1,0
55,2,5) $500 - $750,749.54,0,1,Suburban,1,Multichannel,Mens and Womens merchandise,1,0
56,12,1) $0 - $100,29.99,0,1,Suburban,1,Phone,Mens and Womens merchandise,1,0
57,2,5) $500 - $750,568.16,1,1,Suburban,1,Phone,Mens and Womens merchandise,0,0
58,1,1) $0 - $100,52.14,0,1,Urban,1,Phone,Mens and Womens merchandise,0,0
59,9,5) $500 - $750,561.03,1,0,Suburban,1,Phone,No merchandise,0,0
60,11,2) $100 - $200,167.41,1,0,Rural,0,Phone,Mens and Womens merchandise,1,0
61,3,1) $0 - $100,56.02,0,1,Suburban,1,Web,No merchandise,0,0
62,9,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens and Womens merchandise,0,0
63,2,4) $350 - $500,387.24,1,0,Urban,0,Multichannel,No merchandise,0,0
64,3,3) $200 - $350,281.08,1,1,Suburban,0,Phone,Mens and Womens merchandise,0,0
65,1,1) $0 - $100,29.99,1,0,Suburban,1,Web,No merchandise,0,0
66,6,2) $100 - $200,127.92,0,1,Rural,0,Phone,Mens and Womens merchandise,0,0
67,5,5) $500 - $750,606.1,1,1,Suburban,1,Web,Mens and Womens merchandise,1,0
68,2,1) $0 - $100,29.99,1,0,Urban,0,Phone,Mens and Womens merchandise,0,0
69,9,1) $0 - $100,35.27,1,0,Urban,0,Phone,No merchandise,0,0
70,11,1) $0 - $100,43.63,1,0,Urban,1,Web,No merchandise,0,0
71,2,1) $0 - $100,45.78,1,0,Suburban,1,Web,No merchandise,0,0
72,10,4) $350 - $500,428.99,1,0,Suburban,0,Multichannel,Mens and Womens merchandise,0,0
73,2,2) $100 - $200,122.77,0,1,Rural,1,Web,No merchandise,0,0
74,3,1) $0 - $100,84.81,1,0,Urban,1,Web,No merchandise,0,0
75,6,2) $100 - $200,140.24,0,1,Rural,0,Web,Mens and Womens merchandise,0,0
76,1,2) $100 - $200,152.64,0,1,Rural,1,Web,No merchandise,1,15
77,3,2) $100 - $200,161.75,0,1,Urban,0,Phone,Mens and Womens merchandise,0,0
78,6,4) $350 - $500,368.09,1,0,Suburban,1,Phone,No merchandise,0,0
79,11,3) $200 - $350,310.09,1,1,Urban,0,Web,No merchandise,1,17
80,9,4) $350 - $500,486.15,1,0,Rural,0,Multichannel,Mens and Womens merchandise,0,0
81,2,1) $0 - $100,29.99,0,1,Suburban,0,Phone,No merchandise,0,0
82,10,2) $100 - $200,164.86,0,1,Suburban,1,Web,No merchandise,0,0
83,5,4) $350 - $500,432.53,1,1,Urban,0,Web,Mens and Womens merchandise,0,0
84,3,3) $200 - $350,290.66,1,0,Suburban,1,Web,Mens and Womens merchandise,0,0
85,1,2) $100 - $200,184.28,1,0,Suburban,0,Phone,No merchandise,1,0
86,7,1) $0 - $100,29.99,0,1,Rural,1,Phone,Mens and Womens merchandise,1,34.05
87,1,1) $0 - $100,77.01,1,0,Suburban,1,Phone,Mens and Womens merchandise,0,0
88,9,1) $0 - $100,29.99,0,1,Suburban,0,Phone,Mens and Womens merchandise,1,0
89,4,5) $500 - $750,504.5,1,1,Urban,1,Phone,No merchandise,0,0
90,7,1) $0 - $100,29.99,0,1,Suburban,1,Web,Mens and Womens merchandise,0,0
91,1,3) $200 - $350,249.16,1,0,Urban,1,Multichannel,Mens and Womens merchandise,0,0
92,10,1) $0 - $100,91.36,0,1,Rural,0,Phone,No merchandise,0,0
93,3,2) $100 - $200,103.52,0,1,Urban,0,Phone,Mens and Womens merchandise,0,0
94,9,5) $500 - $750,507.09,0,1,Rural,1,Web,Mens and Womens merchandise,0,0
95,4,3) $200 - $350,297.67,1,0,Rural,0,Web,Mens and Womens merchandise,1,244.15
96,6,3) $200 - $350,318.38,1,0,Suburban,0,Multichannel,Mens and Womens merchandise,0,0
97,2,1) $0 - $100,57.54,0,1,Suburban,1,Web,No merchandise,0,0
98,5,"6) $750 - $1,000",859.66,1,1,Suburban,1,Phone,No merchandise,0,0
99,10,2) $100 - $200,142.99,1,0,Suburban,0,Phone,No merchandise,0,0
100,7,3) $200 - $350,284.68,1,1,Rural,0,Web,Mens and Womens merchandise,1,0
101,8,1) $0 - $100,45.45,1,0,Suburban,0,Web,No merchandise,1,17
102,9,2) $100 - $200,156.61,1,0,Suburban,1,Web,Mens and Womens merchandise,0,0
103,1,5) $500 - $750,577.17,1,0,Urban,1,Multichannel,No merchandise,0,0
104,9,1) $0 - $100,29.99,0,1,Rural,1,Phone,Mens and Womens merchandise,0,0
105,9,3) $200 - $350,223.1,0,1,Urban,0,Web,Mens and Womens merchandise,0,0
106,4,4) $350 - $500,408.61,1,0,Suburban,0,Web,Mens and Womens merchandise,0,0
107,11,3) $200 - $350,270.84,0,1,Suburban,0,Phone,Mens and Womens merchandise,0,0
108,9,2) $100 - $200,168.26,0,1,Urban,1,Web,Mens and Womens merchandise,0,0
109,9,4) $350 - $500,375.58,1,0,Urban,0,Phone,Mens and Womens merchandise,0,0
110,11,2) $100 - $200,119.67,1,0,Urban,0,Phone,Mens and Womens merchandise,0,0
111,10,1) $0 - $100,45.38,0,1,Urban,1,Phone,No merchandise,0,0
112,7,3) $200 - $350,244.84,1,1,Urban,1,Multichannel,No merchandise,1,16
113,2,5) $500 - $750,633.86,1,1,Urban,1,Phone,Mens and Womens merchandise,1,29.99
114,4,4) $350 - $500,380.57,1,1,Urban,1,Phone,No merchandise,0,0
115,5,"6) $750 - $1,000",926.58,1,1,Urban,1,Web,Mens and Womens merchandise,1,0
116,12,2) $100 - $200,101.88,0,1,Suburban,0,Phone,No merchandise,0,0
117,5,4) $350 - $500,369.89,1,0,Suburban,0,Web,No merchandise,0,0
118,2,3) $200 - $350,215.61,1,0,Rural,0,Web,Mens and Womens merchandise,1,99.49
119,10,2) $100 - $200,110.81,1,0,Urban,1,Web,Mens and Womens merchandise,0,0
120,3,1) $0 - $100,89.48,0,1,Suburban,1,Web,Mens and Womens merchandise,0,0
121,4,2) $100 - $200,197.38,0,1,Urban,0,Phone,Mens and Womens merchandise,0,0
122,11,5) $500 - $750,522.46,0,1,Urban,1,Phone,No merchandise,0,0
123,9,1) $0 - $100,29.99,0,1,Suburban,1,Web,Mens and Womens merchandise,0,0
